customer_id,customer_name,region,signup_date
1,Customer_0001,East,2022-02-25
2,Customer_0002,East,2023-01-06
3,Customer_0003,South,2018-05-27
4,Customer_0004,North,2021-03-31
5,Customer_0005,West,2017-11-19
6,Customer_0006,South,2023-03-12
7,Customer_0007,West,2020-04-15
8,Customer_0008,West,2021-01-21
9,Customer_0009,South,2023-06-23
10,Customer_0010,South,2019-02-27
11,Customer_0011,South,2017-10-12
12,Customer_0012,South,2017-07-07
13,Customer_0013,South,2019-07-23
14,Customer_0014,West,2020-03-31
15,Customer_0015,South,2017-11-23
16,Customer_0016,North,2019-08-12
17,Customer_0017,East,2018-02-18
18,Customer_0018,South,2021-04-06
19,Customer_0019,South,2020-02-13
20,Customer_0020,West,2022-02-01
21,Customer_0021,South,2021-02-03
22,Customer_0022,South,2018-10-29
23,Customer_0023,South,2021-02-25
24,Customer_0024,West,2020-12-26
25,Customer_0025,South,2019-05-09
26,Customer_0026,East,2019-12-30
27,Customer_0027,West,2017-10-20
28,Customer_0028,East,2023-11-01
29,Customer_0029,West,2018-12-02
30,Customer_0030,South,2022-12-28
31,Customer_0031,East,2019-09-30
32,Customer_0032,West,2018-11-01
33,Customer_0033,North,2022-03-09
34,Customer_0034,South,2021-04-04
35,Customer_0035,West,2020-01-11
36,Customer_0036,North,2023-04-01
37,Customer_0037,West,2019-06-19
38,Customer_0038,North,2020-08-21
39,Customer_0039,South,2017-08-18
40,Customer_0040,East,2019-07-28
41,Customer_0041,North,2017-05-12
42,Customer_0042,West,2020-07-16
43,Customer_0043,South,2021-07-02
44,Customer_0044,North,2020-01-02
45,Customer_0045,West,2017-09-29
46,Customer_0046,West,2019-05-15
47,Customer_0047,West,2023-05-13
48,Customer_0048,North,2020-07-12
49,Customer_0049,North,2019-05-21
50,Customer_0050,North,2022-08-07
51,Customer_0051,East,2021-06-09
52,Customer_0052,North,2022-02-23
53,Customer_0053,North,2018-08-09
54,Customer_0054,North,2019-12-21
55,Customer_0055,East,2018-07-26
56,Customer_0056,North,2019-10-08
57,Customer_0057,West,2023-04-19
58,Customer_0058,North,2023-01-17
59,Customer_0059,West,2019-12-13
60,Customer_0060,West,2023-07-23
61,Customer_0061,West,2021-10-21
62,Customer_0062,East,2023-07-19
63,Customer_0063,East,2021-06-24
64,Customer_0064,East,2021-01-22
65,Customer_0065,North,2019-06-18
66,Customer_0066,West,2018-07-21
67,Customer_0067,East,2022-09-19
68,Customer_0068,East,2022-07-15
69,Customer_0069,North,2018-01-08
70,Customer_0070,East,2017-07-12
71,Customer_0071,North,2018-03-26
72,Customer_0072,South,2018-09-19
73,Customer_0073,East,2018-10-18
74,Customer_0074,South,2021-09-26
75,Customer_0075,North,2023-09-09
76,Customer_0076,West,2017-09-18
77,Customer_0077,East,2021-04-26
78,Customer_0078,North,2021-04-13
79,Customer_0079,West,2023-09-07
80,Customer_0080,West,2022-04-02
81,Customer_0081,South,2022-12-08
82,Customer_0082,North,2019-10-27
83,Customer_0083,West,2023-03-17
84,Customer_0084,East,2017-02-17
85,Customer_0085,East,2018-04-15
86,Customer_0086,South,2023-01-09
87,Customer_0087,West,2019-12-29
88,Customer_0088,North,2020-10-25
89,Customer_0089,East,2018-04-02
90,Customer_0090,West,2020-04-17
91,Customer_0091,West,2021-11-16
92,Customer_0092,South,2018-10-10
93,Customer_0093,East,2022-02-02
94,Customer_0094,East,2017-01-14
95,Customer_0095,North,2019-12-15
96,Customer_0096,East,2022-08-13
97,Customer_0097,North,2019-01-02
98,Customer_0098,East,2022-09-11
99,Customer_0099,South,2018-03-12
100,Customer_0100,East,2020-05-07
101,Customer_0101,North,2022-09-11
102,Customer_0102,North,2023-10-31
103,Customer_0103,South,2019-03-26
104,Customer_0104,East,2018-09-19
105,Customer_0105,East,2021-03-12
106,Customer_0106,South,2018-10-24
107,Customer_0107,East,2023-01-19
108,Customer_0108,East,2022-12-13
109,Customer_0109,North,2017-01-03
110,Customer_0110,East,2023-09-20
111,Customer_0111,East,2020-08-20
112,Customer_0112,South,2022-06-25
113,Customer_0113,South,2017-03-21
114,Customer_0114,West,2018-04-04
115,Customer_0115,North,2021-01-26
116,Customer_0116,East,2020-06-13
117,Customer_0117,East,2019-09-08
118,Customer_0118,West,2017-08-26
119,Customer_0119,East,2019-09-14
120,Customer_0120,North,2023-05-13
121,Customer_0121,West,2017-11-19
122,Customer_0122,North,2017-12-17
123,Customer_0123,West,2022-06-14
124,Customer_0124,West,2017-10-11
125,Customer_0125,South,2022-12-22
126,Customer_0126,North,2018-05-31
127,Customer_0127,East,2018-06-10
128,Customer_0128,East,2022-05-01
129,Customer_0129,North,2023-03-02
130,Customer_0130,East,2018-11-08
131,Customer_0131,East,2019-12-22
132,Customer_0132,North,2022-12-02
133,Customer_0133,West,2023-10-21
134,Customer_0134,North,2021-09-30
135,Customer_0135,West,2019-05-18
136,Customer_0136,East,2023-01-18
137,Customer_0137,East,2019-04-04
138,Customer_0138,East,2020-06-30
139,Customer_0139,South,2021-06-23
140,Customer_0140,West,2021-03-10
141,Customer_0141,South,2021-11-30
142,Customer_0142,South,2022-10-21
143,Customer_0143,North,2022-01-24
144,Customer_0144,South,2018-05-11
145,Customer_0145,North,2019-10-13
146,Customer_0146,North,2019-07-10
147,Customer_0147,South,2017-09-20
148,Customer_0148,West,2020-10-16
149,Customer_0149,West,2017-03-28
150,Customer_0150,West,2023-08-07
151,Customer_0151,West,2023-03-19
152,Customer_0152,West,2019-08-01
153,Customer_0153,South,2023-08-08
154,Customer_0154,South,2019-06-22
155,Customer_0155,East,2017-01-30
156,Customer_0156,West,2017-10-18
157,Customer_0157,South,2017-08-30
158,Customer_0158,East,2019-07-27
159,Customer_0159,West,2017-10-04
