call_id,agent_id,customer_id,start_time,duration_sec,wait_time_sec,status,call_type
1,9,1686,2022-02-13 04:05:00,281.0,85.0,Completed,Complaint
2,16,2770,2022-10-13 22:56:00,269.0,26.0,Completed,Support
3,26,2112,2022-07-22 14:20:00,43.0,48.0,Completed,Support
4,47,1878,2022-09-18 20:23:00,306.0,35.0,Dropped,Sales
5,18,1323,2022-07-26 12:08:00,543.0,18.0,Completed,Support
6,3,408,2022-12-01 15:46:00,101.0,46.0,Transferred,Sales
7,13,2821,2022-04-07 01:20:00,313.0,75.0,Completed,Complaint
8,17,338,2022-09-28 18:26:00,720.0,17.0,Completed,Billing
9,28,2685,2022-03-08 09:49:00,-160.0,59.0,Completed,Sales
10,1,34,2022-09-08 04:23:00,126.0,1.0,Completed,Sales
11,6,2994,2022-03-16 14:02:00,548.0,102.0,Dropped,Billing
12,42,2774,2022-04-15 00:32:00,60.0,0.0,Completed,Billing
13,41,621,2022-10-27 19:09:00,323.0,118.0,Completed,Support
14,38,2991,2022-10-07 15:26:00,85.0,0.0,Completed,Billing
15,36,2462,2022-07-27 11:21:00,430.0,15.0,Completed,Inquiry
16,39,2088,2022-05-18 08:50:00,60.0,48.0,Dropped,Sales
17,25,462,2022-06-25 13:12:00,37.0,78.0,Transferred,Complaint
18,9,1585,2022-11-03 11:07:00,267.0,94.0,Completed,Support
19,38,277,2022-01-11 01:03:00,109.0,88.0,Completed,Inquiry
20,50,1702,2022-11-05 10:30:00,236.0,0.0,Completed,Complaint
21,6,2095,2022-05-28 23:08:00,1351.0,46.0,Completed,Support
22,20,2862,2022-11-15 13:37:00,185.0,0.0,Completed,Sales
23,40,2494,2022-02-10 01:41:00,197.0,69.0,Completed,Support
24,11,2034,2022-09-10 11:06:00,1451.0,74.0,Completed,Complaint
25,47,484,2022-01-22 09:02:00,71.0,42.0,Transferred,Support
26,32,1865,2022-09-20 05:37:00,289.0,8.0,Completed,Inquiry
27,44,2961,2022-03-25 23:36:00,126.0,0.0,Completed,Sales
28,24,1569,2022-04-20 06:55:00,161.0,1.0,Completed,Sales
29,15,1319,2022-06-30 18:42:00,51.0,0.0,Completed,Inquiry
30,44,216,2022-05-11 14:16:00,513.0,31.0,Dropped,Complaint
31,50,1273,2022-08-27 07:59:00,109.0,71.0,Dropped,Inquiry
32,16,1901,2022-09-26 04:02:00,345.0,34.0,Dropped,Billing
33,10,27,2022-10-26 13:54:00,258.0,0.0,Completed,Complaint
34,1,2693,2022-10-01 23:52:00,362.0,0.0,Completed,Sales
35,4,584,2022-07-23 18:18:00,1571.0,57.0,Completed,Complaint
36,30,348,2022-03-11 14:19:00,423.0,107.0,Completed,Billing
37,16,1195,2022-07-10 01:08:00,217.0,33.0,Completed,Sales
38,18,957,2022-02-24 09:15:00,978.0,2.0,Completed,Sales
39,30,1287,2022-10-24 00:19:00,87.0,0.0,Completed,Support
40,6,646,2022-08-10 12:32:00,260.0,55.0,Completed,Support
41,46,1017,2022-09-17 01:03:00,60.0,93.0,Completed,Sales
42,29,2278,2022-07-01 22:29:00,158.0,17.0,Completed,Billing
43,9,812,2022-10-19 16:40:00,358.0,8.0,Completed,Support
44,2,265,2022-05-24 23:56:00,79.0,0.0,Dropped,Complaint
45,8,175,2022-12-02 16:28:00,1497.0,32.0,Completed,Sales
46,44,1748,2022-05-06 20:01:00,583.0,61.0,Completed,Inquiry
47,40,2528,2022-06-28 23:24:00,250.0,0.0,Completed,Sales
48,9,1718,2022-05-26 05:46:00,452.0,39.0,Completed,Support
49,25,2922,2022-09-19 11:56:00,70.0,50.0,Completed,Complaint
50,12,107,2022-08-21 04:47:00,400.0,53.0,Dropped,Sales
51,34,1465,2022-06-19 11:48:00,41.0,0.0,Dropped,Support
52,49,899,2022-10-10 20:10:00,163.0,0.0,Completed,Complaint
53,38,116,2022-09-14 02:05:00,57.0,33.0,Transferred,Sales
54,35,1266,2022-05-08 20:04:00,139.0,58.0,Completed,Support
55,22,2516,2022-05-27 16:50:00,181.0,116.0,Dropped,Support
56,2,606,2022-04-14 03:33:00,247.0,0.0,Completed,Sales
57,38,414,2022-09-03 01:49:00,785.0,40.0,Dropped,Sales
58,42,1300,2022-05-07 20:24:00,601.0,29.0,Completed,Inquiry
59,12,1550,2022-08-12 10:07:00,100.0,,Completed,Inquiry
60,26,2325,2022-01-24 13:55:00,661.0,76.0,Completed,Support
61,32,577,2022-08-30 03:35:00,637.0,52.0,Dropped,Support
62,46,2745,2022-09-02 11:38:00,139.0,53.0,Completed,Support
63,47,6,2022-02-05 01:26:00,55.0,0.0,Completed,Sales
64,23,2237,2022-10-01 07:40:00,386.0,15.0,Completed,Billing
65,29,302,2022-01-25 07:55:00,157.0,32.0,Completed,Sales
66,11,2999,2022-02-24 14:45:00,548.0,36.0,Completed,Sales
67,46,127,2022-11-11 01:55:00,72.0,128.0,Completed,Billing
68,13,1677,2022-07-13 03:50:00,464.0,17.0,Completed,Sales
69,10,224,09-20-2022 17:56:00,87.0,0.0,Completed,Support
70,2,848,2022-05-05 09:30:00,77.0,32.0,Dropped,Sales
71,32,2708,2022-07-12 23:17:00,167.0,50.0,Completed,Sales
72,3,1079,2022-11-17 05:01:00,199.0,32.0,Completed,Support
73,6,2737,2022-09-08 08:11:00,142.0,0.0,Completed,Sales
74,34,1715,2022-12-12 18:09:00,63.0,41.0,Dropped,Support
75,33,2340,2022-04-18 08:50:00,337.0,51.0,Transferred,Billing
76,9,175,2022-11-05 07:00:00,345.0,0.0,Completed,Inquiry
77,17,1310,2022-02-18 19:07:00,79.0,2.0,Completed,Support
78,10,2869,2022-11-02 12:56:00,1611.0,27.0,Transferred,Support
79,7,2305,2022-03-15 12:56:00,47.0,7.0,Completed,Sales
80,37,2495,2022-12-11 11:05:00,68.0,13.0,Completed,Support
81,26,1358,2022-06-22 23:59:00,138.0,42.0,Completed,Complaint
82,20,1149,2022-12-24 23:40:00,49.0,4.0,Completed,Sales
83,50,1315,2022-07-16 04:27:00,243.0,0.0,Dropped,Sales
84,48,1985,2022-09-30 06:33:00,323.0,66.0,Completed,Billing
85,50,2148,2022-01-22 01:54:00,254.0,0.0,Completed,Support
86,24,2887,2022-05-25 23:41:00,683.0,21.0,Completed,Support
87,16,1526,2022-12-22 22:10:00,209.0,9.0,Completed,Billing
88,17,2822,2022-03-07 19:42:00,190.0,0.0,Transferred,Billing
89,42,923,2022-05-31 12:53:00,557.0,65.0,Completed,Support
90,31,542,2022-05-07 02:54:00,33.0,60.0,Completed,Complaint
91,28,1543,2022-09-11 22:08:00,191.0,14.0,Completed,Inquiry
92,7,31,2022-09-30 12:08:00,120.0,29.0,Completed,Complaint
93,18,2624,2022-08-25 18:10:00,458.0,34.0,Completed,Billing
94,34,985,2022-02-11 08:12:00,102.0,0.0,Completed,Support
95,42,2038,2022-08-04 06:03:00,33.0,0.0,Completed,Inquiry
96,13,1406,2022-06-11 22:04:00,268.0,28.0,Completed,Complaint
97,11,2694,2022-05-12 21:34:00,211.0,0.0,Completed,Billing
98,44,1375,2022-03-07 00:37:00,147.0,28.0,Dropped,Complaint
